bampo	Lithang	Cone	Lhasa	Dege
lj006_032	11@47b3	105@60b7	11@74a8	11@50b2
lj006_033	11@57b5	105@72b7	11@89b6	11@60b7
lj006_034	11@67b2	105@84a7	11@104b1	11@70a7
lj006_035	11@85b7	105@106a2	11@131b2	11@88a1
lj006_036	11@98a7	105@119b1	11@149b6	11@99b2
lj006_037	11@111a1	105@133a1	11@170a4	11@112b1
lj006_038	11@120a6	105@143a8	11@185a2	11@122a4
lj006_039	11@132b4	105@157b6	11@204a6	11@134b1
lj006_040	11@142b1	105@169a5	11@218b6	11@144a2
lj006_041	11@149a7	105@177b3	11@229b7	11@151a2
lj006_042	11@157b6	105@186b4	11@242b3	11@159a3
lj006_043	11@169b4	105@199a5	11@259b7	11@170a6
lj006_044	11@181b8	105@214b3	11@279a2	11@182b3
lj006_045	11@191a3	105@226b2	11@293b4	11@192a6
lj006_046	11@200a6	105@238a1	11@307b5	11@202a1
lj006_047	11@208a3	105@248a3	11@319b5	11@209b4
lj006_048	11@217a2	105@259a8	11@333a3	11@218a7
lj006_049	11@226a7	105@270b7	11@346b4	11@227a6
lj006_050	11@236b8	105@282b6	11@362a3	11@237b6
lj006_051	11@246a4	105@292b3	11@376b1	11@247b2
lj006_052	11@256a6	105@304a8	11@392a6	11@258a2
lj006_053	11@266b3	105@316a4	11@408a6	11@268b4
lj006_054	11@274b8	105@325b2	11@421a3	11@277a1
lj006_055	11@283b7	105@335b3	11@435b2	11@285b5
lj006_056	11@293a5	105@346a1	11@450a5	11@294b7
lj006_057	11@302b6	105@356a6	11@465a2	11@304b6
lj006_058	11@313a2	105@367a7	11@480b3	11@315a7
lj006_059	11@323b7	105@378b8	11@496b6	11@325b2
lj007_001	12@1b1	106@1b1	12@1b1	12@1b1
lj007_002	12@11b6	106@14b6	12@17a4	12@11b1
lj007_003	12@20b7	106@24b8	12@30a4	12@20a1
lj007_004	12@28b3	106@33b8	12@43b1	12@28a7
lj007_005	12@38b2	106@45b2	12@57a1	12@37b1
lj007_006	12@47b3	106@56b3	12@70b2	12@46a7
lj007_007	12@55b1	106@65a5	12@82a7	12@54a4
lj007_008	12@62b4	106@73a5	12@92b7	12@61a8
lj007_009	12@69b5	106@80b8	12@103b3	12@68b3
lj007_010	12@77a6	106@90a1	12@115a2	12@76a4
lj007_011	12@84a4	106@98a6	12@125a6	12@83a3
lj007_012	12@92b1	106@108a3	12@137a5	12@83a3
lj008_001	12@94a1	106@109b6	12@139a6	12@92b2
lj008_002	12@106a5	106@124b5	12@156b6	12@104b5
lj008_003	12@115a6	106@135b2	12@171a1	12@113b8
lj008_004	12@128b2	106@151b3	12@191a7	12@128a2
lj008_005	12@138b4	106@164a2	12@207a7	12@138a6
lj008_006	12@149a2	106@176a1	12@223b1	12@149a6
lj008_007	12@159b5	106@188b7	12@240a3	12@160b5
lj008_008	12@167b8	106@198a3	12@252a4	12@168b3
lj008_009	12@175a6	106@206b3	12@262b7	12@175b7
lj008_010	12@182a6	106@215a1	12@273a6	12@183a7
lj008_011	12@190b6	106@224b6	12@286a6	12@192a2
lj008_012	12@200a3	106@235a7	12@300b1	12@201a8
lj008_013	12@209b6	106@246a6	12@315a5	12@211b5
lj008_014	12@218b3	106@256a8	12@328b6	12@221a5
lj008_015	12@227a8	106@267a6	12@343a1	12@230a8
lj008_016	12@236a5	106@277b8	12@356a4	12@239a4
lj008_017	12@245b7	106@289a3	12@369b4	12@248b7
lj008_018	12@255a1	106@300a5	12@383b1	12@258a7
lj008_019	12@264a5	106@311b2	12@398a3	12@268a3
